,id,keyword,text,target
2799,4026,disaster,Top insurer blasts lack of Australian Govt action on disaster mitigation http://t.co/sDgOUtWNtb via @smh,1
1771,2544,collision,Traffic Collision - No Injury: I5 S at I5 S 43rd Ave offramp South Sac http://t.co/cT9ejXoLpu,1
4601,6543,injury,Traffic Collision - No Injury: I5 S at I5 S 43rd Ave offramp South Sac http://t.co/cT9ejXoLpu,1
5665,8084,rescue,UD: Rescue (Structural Collapse) - Scott Road @ Ypres Road York (14 Trucks),1
7135,10220,volcano,USGS reports a M1.94 #earthquake 5km S of Volcano Hawaii on 8/6/15 @ 1:04:01 UTC http://t.co/Njd28pg9Xv #quake,1
3046,4373,earthquake,USGS reports a M1.94 #earthquake 5km S of Volcano Hawaii on 8/6/15 @ 1:04:01 UTC http://t.co/Njd28pg9Xv #quake,1
5723,8168,rescuers,VIDEO: 'We're picking up bodies from water': Rescuers are searching for hundreds of migrants in the Mediterranean after a boat carryi...,1
1172,1689,bridge%20collapse,Warne shocked over Australia's epic collapse at Trent Bridge: Johannesburg Aug 06 (ANI): Legendary Australian... http://t.co/LwwoJXtTIV,1
1623,2346,collapse,Warne shocked over Australia's epic collapse at Trent Bridge: Johannesburg Aug 06 (ANI): Legendary Australian... http://t.co/LwwoJXtTIV,1
4013,5699,floods,"Who is bringing the tornadoes and floods. Who is bringing the climate change. God is after America He is plaguing her
 
#FARRAKHAN #QUOTE",0
7537,10776,wreckage,Wreckage 'Conclusively Confirmed' as From MH370: Malaysia PM,1
7026,10071,typhoon,abcnews - Obama Declares Disaster for Typhoon-Devastated Saipan: Obama signs disaster declaration for Northern... http://t.co/mg5eAJElul,1
2736,3933,devastated,abcnews - Obama Declares Disaster for Typhoon-Devastated Saipan: Obama signs disaster declaration for Northern... http://t.co/mg5eAJElul,1
4827,6874,mass%20murder,http://t.co/c1H7JECFrV @RoyalCarribean do your passengers know about the mass murder that takes place in the #FaroeIslands every year?,1
4623,6571,injury,incident with injury:I-495  inner loop Exit 31 - MD 97/Georgia Ave Silver Spring,1
1349,1950,burning%20buildings,like for the music video I want some real action shit like burning buildings and police chases not some weak ben winston shit,0
3449,4931,exploded,"that exploded &amp; brought about the
beginning of universe matches what's
mentioned in the versethe heaven and Earth
(thus the universe)",0
6094,8702,sinking,that horrible sinking feeling when youÛªve been at home on your phone for a while and you realise its been on 3G this whole time,0
5620,8018,refugees,wowo--=== 12000 Nigerian refugees repatriated from Cameroon,1
